Created on 07-22-2018,http://www.CryptoDataDownload.com,,,,,,
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-07-05 02-PM,NEOUSD,41.88,41.88,41,41.3,627.97,25930.65
2018-07-05 01-PM,NEOUSD,42.5,42.67,41.41,41.88,1138.35,47806.97
2018-07-05 12-PM,NEOUSD,42,42.5,41.81,42.5,1053.8,44321.85
2018-07-05 11-AM,NEOUSD,42.18,42.93,41.87,42,546.65,23100.98
2018-07-05 10-AM,NEOUSD,41.85,42.27,41.2,42.18,2043.96,84839.02
2018-07-05 09-AM,NEOUSD,42.09,42.17,40.76,41.85,1804.09,74188.65
2018-07-05 08-AM,NEOUSD,41.62,42.15,41.52,42.09,303.65,12691
2018-07-05 07-AM,NEOUSD,41.69,42,41.48,41.62,487.75,20354.25
2018-07-05 06-AM,NEOUSD,41.6,41.93,41.6,41.69,317.57,13234.92
2018-07-05 05-AM,NEOUSD,41.99,42.42,41.15,41.6,345.04,14363.28
2018-07-05 04-AM,NEOUSD,42.55,42.55,41.59,41.99,637.63,26985.62
2018-07-05 03-AM,NEOUSD,42.42,42.66,42.02,42.55,727.49,30825.62
2018-07-05 02-AM,NEOUSD,42.5,43.13,42.26,42.42,1133.11,48626.78
2018-07-05 01-AM,NEOUSD,40.78,43,40.73,42.5,4866.69,204561.04
2018-07-05 12-AM,NEOUSD,40.5,41.38,40.27,40.78,1597.31,65080.58
2018-07-04 11-PM,NEOUSD,40.98,41.14,40.29,40.5,1379.3,55959.3
2018-07-04 10-PM,NEOUSD,41.2,42.56,40.25,40.98,3202.53,133151.06
2018-07-04 09-PM,NEOUSD,39.37,41.9,38.82,41.2,5471.63,224782.33
2018-07-04 08-PM,NEOUSD,39.2,39.5,39.1,39.37,254.18,10008.53
2018-07-04 07-PM,NEOUSD,38.98,39.2,38.94,39.2,923.54,36036
2018-07-04 06-PM,NEOUSD,38.9,39.5,38.87,38.98,926.21,36438.9
2018-07-04 05-PM,NEOUSD,38.2,38.92,38.2,38.9,161.28,6231.23
2018-07-04 04-PM,NEOUSD,38.5,38.8,38.2,38.2,565.41,21801.04
2018-07-04 03-PM,NEOUSD,38.78,38.79,38.46,38.5,321.21,12417.18
2018-07-04 02-PM,NEOUSD,38.9,39.1,38.21,38.78,1722.51,66346.33
2018-07-04 01-PM,NEOUSD,39.17,40.3,38,38.9,4259.01,168391.06
2018-07-04 12-PM,NEOUSD,38.93,39.39,38.82,39.17,777.96,30472.38
2018-07-04 11-AM,NEOUSD,39.08,39.34,38.57,38.93,5865.79,226513.14
2018-07-04 10-AM,NEOUSD,39.51,40,38.85,39.08,1066.91,42184.51
2018-07-04 09-AM,NEOUSD,39.82,39.82,39,39.51,493.07,19384.34
2018-07-04 08-AM,NEOUSD,38.3,41,37.76,39.82,8901.05,349642.38
2018-07-04 07-AM,NEOUSD,37.4,38.3,36.97,38.3,585.01,22000.35
2018-07-04 06-AM,NEOUSD,36.39,37.4,36.18,37.4,2353.46,86981.57
2018-07-04 05-AM,NEOUSD,36.39,36.39,36.01,36.39,266.05,9641.54
2018-07-04 04-AM,NEOUSD,35.91,36.39,35.91,36.39,235.23,8531.42
2018-07-04 03-AM,NEOUSD,35.86,36.3,35.64,35.91,581.77,20853.95
2018-07-04 02-AM,NEOUSD,35.88,36,35.51,35.86,168.17,6033.75
2018-07-04 01-AM,NEOUSD,35.28,35.88,34.92,35.88,1348.55,47280.65
2018-07-04 12-AM,NEOUSD,35.96,36.15,35.19,35.28,834.5,29561.49
2018-07-03 11-PM,NEOUSD,35.6,35.96,35.35,35.96,876.56,31221.6
2018-07-03 10-PM,NEOUSD,36.74,36.93,35.6,35.6,2253.67,81854.54
2018-07-03 09-PM,NEOUSD,36.97,37.25,36.71,36.74,71.87,2655.81
2018-07-03 08-PM,NEOUSD,36.88,37.28,36.41,36.97,367.16,13579.54
2018-07-03 07-PM,NEOUSD,36.3,37.24,35.5,36.88,1747.81,63400.47
2018-07-03 06-PM,NEOUSD,36.56,36.56,36.18,36.3,71.52,2601.46
2018-07-03 05-PM,NEOUSD,36.79,36.79,36.21,36.56,129.29,4720.13
2018-07-03 04-PM,NEOUSD,36.42,36.8,36.06,36.79,311.78,11336.47
2018-07-03 03-PM,NEOUSD,37.4,37.48,36.16,36.42,476.47,17413.31
2018-07-03 02-PM,NEOUSD,37.46,37.52,36.97,37.4,617.47,22914.83
2018-07-03 01-PM,NEOUSD,37.85,38.1,37.22,37.46,1628.91,60982.28
2018-07-03 12-PM,NEOUSD,37.48,37.85,37.16,37.85,675.9,25419.89
2018-07-03 11-AM,NEOUSD,36.74,37.48,36.57,37.48,248.75,9194.1
2018-07-03 10-AM,NEOUSD,38.07,38.07,36.16,36.74,1806.37,66243.63
2018-07-03 09-AM,NEOUSD,37.57,38.1,37.47,38.07,371.81,14099.66
2018-07-03 08-AM,NEOUSD,37.8,37.87,37.2,37.57,496.37,18650.39
2018-07-03 07-AM,NEOUSD,37.8,38.2,37.8,37.8,457.07,17310.46
2018-07-03 06-AM,NEOUSD,37.82,38.23,37.6,37.8,1448.34,54886.37
2018-07-03 05-AM,NEOUSD,37.89,38.31,37.67,37.82,404.58,15368.2
2018-07-03 04-AM,NEOUSD,37.59,38.5,37.59,37.89,999.36,38081.68
2018-07-03 03-AM,NEOUSD,36.97,38.48,36.69,37.59,1984.71,75202.29
2018-07-03 02-AM,NEOUSD,36.06,36.97,36.06,36.97,319.3,11665.47
2018-07-03 01-AM,NEOUSD,36,36.06,35.8,36.06,383.6,13805.91
2018-07-03 12-AM,NEOUSD,36.27,36.27,35.74,36,365.04,13106.63
2018-07-02 11-PM,NEOUSD,36.69,36.69,36,36.27,690.97,24988.55
2018-07-02 10-PM,NEOUSD,37,37.1,36.37,36.69,122.7,4491.63
2018-07-02 09-PM,NEOUSD,36.63,37.1,36.42,37,207.93,7670.86
2018-07-02 08-PM,NEOUSD,36.6,37.14,36.2,36.63,702.89,25867.44
2018-07-02 07-PM,NEOUSD,36.39,36.9,36.3,36.6,459.75,16780.32
2018-07-02 06-PM,NEOUSD,35.7,36.39,35.7,36.39,592.06,21345.37
2018-07-02 05-PM,NEOUSD,35.91,36.2,35.61,35.7,662.12,23849.84
2018-07-02 04-PM,NEOUSD,36.15,36.56,35.5,35.91,826,29595.99
2018-07-02 03-PM,NEOUSD,36.3,36.97,35.9,36.15,2759.56,100230.32
2018-07-02 02-PM,NEOUSD,35.87,37.25,35.87,36.3,3197.36,116352.02
2018-07-02 01-PM,NEOUSD,32.88,36.11,32.88,35.87,6137.77,213517.15
2018-07-02 12-PM,NEOUSD,33.2,33.2,32.7,32.88,342.76,11280.89
2018-07-02 11-AM,NEOUSD,32.7,33.3,32.59,33.2,984.65,32219.22
2018-07-02 10-AM,NEOUSD,32.6,33.5,32.57,32.7,1872.26,62017.14
2018-07-02 09-AM,NEOUSD,32.52,32.8,32.35,32.6,983.98,32218.6
2018-07-02 08-AM,NEOUSD,32.18,32.56,32.12,32.52,184.18,5976.49
2018-07-02 07-AM,NEOUSD,31.44,32.18,31.44,32.18,206.37,6600.67
2018-07-02 06-AM,NEOUSD,31.4,31.92,31.13,31.44,376.71,11848.39
2018-07-02 05-AM,NEOUSD,32,32,31.4,31.4,727.34,23097.95
2018-07-02 04-AM,NEOUSD,32,32.17,31.5,32,186.8,5973.94
2018-07-02 03-AM,NEOUSD,32.07,32.46,31.92,32,641.17,20625.14
2018-07-02 02-AM,NEOUSD,31.47,32.13,31.4,32.07,1084.59,34607.69
2018-07-02 01-AM,NEOUSD,31.23,31.5,31.23,31.47,47.65,1491.13
2018-07-02 12-AM,NEOUSD,31.5,31.5,31.16,31.23,139.52,4358.62
2018-07-01 11-PM,NEOUSD,31.24,31.5,31.24,31.5,177.95,5589.01
2018-07-01 10-PM,NEOUSD,31.13,31.3,31.13,31.24,540.8,16894.53
2018-07-01 09-PM,NEOUSD,31.3,31.3,31,31.13,334.23,10431.37
2018-07-01 08-PM,NEOUSD,30.72,31.6,30.72,31.3,544.02,17071.17
